Parcel_ID|Municipality|Property_Address|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2012_Mkt|Land_Value_2012_Cty|Building_Value_2012_Mkt|Building_Value_2012_Cty|Total_Value_2012_Mkt|Total_Value_2012_Cty
0063-E-00250-0000-00|926 MT. LEBANON|1766 THEODAN DR|Mt Lebanon|92612|Taxable|12/19/2007|Regular|165000|Residential|13470|SINGLE FAMILY|465|Yes|No|No|11,596 SQFT|54300|54300|108300|93300|162600|147600
0063-E-00252-0000-00|926 MT. LEBANON|1770 THEODAN DR|Mt Lebanon|92612|Taxable|7/7/1987|Regular|95000|Residential|7593|SINGLE FAMILY|510|Yes|No|No|12,029 SQFT|54900|54900|119200|104200|174100|159100
0063-E-00254-0000-00|926 MT. LEBANON|1774 THEODAN DR|Mt Lebanon|92612|Taxable|4/12/1996|Regular|120500|Residential|9669|SINGLE FAMILY|327|Yes|No|No|10,042 SQFT|51800|51800|105800|90800|157600|142600
0063-E-00256-0000-00|926 MT. LEBANON|1778 THEODAN DR|Mt Lebanon|92612|Taxable|12/18/2001|Regular|0|Residential|11226|SINGLE FAMILY|435|Yes|No|No|10,236 SQFT|45000|45000|130000|115000|175000|160000
0063-E-00300-0000-00|926 MT. LEBANON|238 TWIN HILLS DR|Mt Lebanon|92612|Taxable|9/28/1987|Regular|110000|Residential|7646|SINGLE FAMILY|618|Yes|No|No|39,285 SQFT|97200|97200|339800|324800|437000|422000
0063-E-00310-0000-00|926 MT. LEBANON|246 TWIN HILLS DR|Mt Lebanon|92612|Taxable|12/3/1986|Regular|75000|Residential|7444|SINGLE FAMILY|272|No|No|No|2.1500 Acres|127700|127700|240300|240300|368000|368000
0063-E-00310-0001-00|926 MT. LEBANON|TWIN HILLS DR|Mt Lebanon|92612|Taxable|12/6/1987|Regular|15000|Residential|7692|VACANT LAND|559|No|No|No|8,899 SQFT|13800|13800|0|0|13800|13800
0063-E-00311-0000-00|926 MT. LEBANON|242 TWIN HILLS DR|Mt Lebanon|92612|Taxable|4/1/1997|Regular|450000|Residential|9912|SINGLE FAMILY|407|Yes|No|No|25,439 SQFT|75700|75700|477100|462100|552800|537800
0063-E-00313-0000-00|926 MT. LEBANON|243 TWIN HILLS DR|Mt Lebanon|92612|Taxable|9/11/1987|Regular|125000|Residential|7636|SINGLE FAMILY|520|Yes|No|No|1.2100 Acres|86500|86500|425100|410100|511600|496600
0063-E-00315-0000-00|926 MT. LEBANON|247 TWIN HILLS DR|Mt Lebanon|92612|Taxable|11/19/1992|Regular|1|Residential|8853|SINGLE FAMILY|164|No|No|No|33,658 SQFT|88500|88500|321500|321500|410000|410000
0063-E-00317-0000-00|926 MT. LEBANON|251 TWIN HILLS DR|Mt Lebanon|92612|Taxable|6/2/2008|Regular|350000|Residential|13626|SINGLE FAMILY|311|Yes|No|No|13,689 SQFT|57500|57500|147000|132000|204500|189500
0063-E-00327-0000-00|926 MT. LEBANON|250 TWIN HILLS DR|Mt Lebanon|92612|Taxable|10/2/1989|Regular|177500|Residential|8109|SINGLE FAMILY|495|Yes|No|No|14,194 SQFT|58300|58300|160000|145000|218300|203300
0063-E-00330-0000-00|926 MT. LEBANON|254 TWIN HILLS DR|Mt Lebanon|92612|Taxable|9/22/1970|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|23,877 SQFT|73300|73300|127800|112800|201100|186100
0063-E-00334-0000-00|926 MT. LEBANON|910 N MEADOWCROFT AVE|Mt Lebanon|92612|Taxable|5/30/2000|Regular|82000|Residential|10775|SINGLE FAMILY|50|Yes|No|No|8,129 SQFT|39100|39100|73500|58500|112600|97600
0063-E-00336-0000-00|926 MT. LEBANON|914 N MEADOWCROFT AVE|Mt Lebanon|92612|Taxable|6/23/2010|Regular|157000|Residential|14301|SINGLE FAMILY|405|No|No|No|6,849 SQFT|38200|38200|70800|70800|109000|109000
0063-E-00338-0000-00|926 MT. LEBANON|918 N MEADOWCROFT AVE|Mt Lebanon|92612|Taxable|6/7/1972|Regular|22900|Residential|5095|SINGLE FAMILY|353|Yes|No|No|6,361 SQFT|38000|38000|91700|76700|129700|114700
0063-E-00340-0000-00|926 MT. LEBANON|922 N MEADOWCROFT AVE|Mt Lebanon|92612|Taxable|10/29/1965|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|6,216 SQFT|37900|37900|100600|85600|138500|123500
0063-E-00342-0000-00|926 MT. LEBANON|928 N MEADOWCROFT AVE|Mt Lebanon|92612|Taxable|5/21/1979|Regular|63000|Residential||SINGLE FAMILY|0|Yes|Yes|No|6,072 SQFT|37900|37900|88700|73700|126600|111600
