PIN,MAPBLOCKLO,PROPERTYHO,PROPERTY_1,PROPERTYZI,FAIRMARKET,FAIRMARK_1,TAXDESC,OWNERDESC,STATEDESC,USEDESC,LOTAREA
0097F00185000000,97-F-185,0,ELWYN RD,15243,813000,687000,Exempt,Corporation,Other,"CHURCHES, PUBLIC WORSHIP",356016
0097E00289000000,97-E-289,1091,MISSISSIPPI AVE,15216,50000,30000,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097E00295000000,97-E-295,1096,MISSISSIPPI AVE,15216,93600,36800,Taxable,Regular,Residential,SINGLE FAMILY,8460
0097E00285000000,97-E-285,1085,MISSISSIPPI AVE,15216,65700,36000,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097E00287000000,97-E-287,1087,MISSISSIPPI AVE,15216,55700,36000,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097E00301000000,97-E-301,1084,MISSISSIPPI AVE,15216,69900,36800,Taxable,Regular,Residential,SINGLE FAMILY,8585
0097E00293000000,97-E-293,1099,MISSISSIPPI AVE,15216,12300,37700,Taxable,Regular,Residential,SINGLE FAMILY,9809
0097E00303000000,97-E-303,1080,MISSISSIPPI AVE,15216,56800,22000,Taxable,Regular,Residential,SINGLE FAMILY,8024
0097E00309000000,97-E-309,0,ILLINOIS AVE,15216,0,36300,Taxable,Corporation,Residential,VACANT LAND,7380
0097E00310000000,97-E-310,0,ILLINOIS AVE,15216,0,6200,Taxable,Regular,Residential,VACANT LAND,7711
0097E00331000000,97-E-331,993,MCNEILLY RD,15226,0,24300,Taxable,Regular,Residential,VACANT LAND,10204
0097E00329000000,97-E-329,995,MCNEILLY RD,15226,97500,27400,Taxable,Regular,Residential,SINGLE FAMILY,10259
0097E00350000000,97-E-350,0,MCNEILLY RD,15226,53700,701300,Exempt,Corporation,Government,MUNICIPAL GOVERNMENT,386050
0097E00291000000,97-E-291,1095,MISSISSIPPI AVE,15216,98100,36000,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097E00307000000,97-E-307,1072,MISSISSIPPI AVE,15216,64800,36500,Taxable,Regular,Residential,SINGLE FAMILY,7711
0097E00305000000,97-E-305,1076,MISSISSIPPI AVE,15216,73200,36300,Taxable,Regular,Residential,SINGLE FAMILY,7401
0097E00334000000,97-E-334,997,MCNEILLY RD,15226,74900,37100,Taxable,Regular,Residential,SINGLE FAMILY,15385
0097E00297000001,97-E-297-0-1,1092,MISSISSIPPI AVE,15216,76600,37400,Taxable,Regular,Residential,SINGLE FAMILY,9525
0097E00275000000,97-E-275,0,MISSISSIPPI AVE,15216,3600,280700,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,326264
0097E00299000000,97-E-299,1088,MISSISSIPPI AVE,15216,70000,20000,Taxable,Regular,Residential,SINGLE FAMILY,9144
0097F00210000000,97-F-210,0,MCNEILLY RD,15226,0,208800,Taxable,Corporation,Industrial,VACANT COMMERCIAL LAND,206213
0097F00250000000,97-F-250,0,DORCHESTER AVE,15226,208800,212300,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,91040
0097F00300000000,97-F-300,0,MCNEILLY RD,15226,0,10600,Taxable,Corporation,Commercial,VACANT COMMERCIAL LAND,34630
0097E00325000000,97-E-325,991,MCNEILLY RD,15226,65000,24500,Taxable,Regular,Residential,SINGLE FAMILY,21245
0097J00010000000,97-J-10,1075,MISSISSIPPI AVE,15216,104200,30600,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097J00040000000,97-J-40,1064,MISSISSIPPI AVE,15216,86300,39400,Taxable,Regular,Residential,SINGLE FAMILY,11934
0097J00066000000,97-J-66,109,MORTON LN,15226,83400,34000,Taxable,Regular,Residential,SINGLE FAMILY,1489
0097J00006000000,97-J-6,1068,MISSISSIPPI AVE,15216,56900,37200,Exempt,Corporation,Residential,SINGLE FAMILY,9217
0097J00036000000,97-J-36,1056,MISSISSIPPI AVE,15216,69600,40900,Taxable,Regular,Residential,SINGLE FAMILY,13895
0097J00068000000,97-J-68,107,MORTON LN,15226,54900,28100,Taxable,Regular,Residential,SINGLE FAMILY,11500
0097J00074000000,97-J-74,985,MCNEILLY RD,15243,47900,28300,Taxable,Regular,Residential,SINGLE FAMILY,11924
0097J00018000000,97-J-18,1065,MISSISSIPPI AVE,15216,72400,36200,Taxable,Regular,Residential,SINGLE FAMILY,7049
0097J00044000000,97-J-44,926,ILLINOIS AVE,15216,130000,26000,Taxable,Regular,Residential,SINGLE FAMILY,8742
0097J00020000000,97-J-20,1061,MISSISSIPPI AVE,15216,87900,36000,Taxable,Regular,Residential,SINGLE FAMILY,6547
0097J00022000000,97-J-22,1057,MISSISSIPPI AVE,15216,78100,36100,Taxable,Regular,Residential,SINGLE FAMILY,6678
0097J00042000000,97-J-42,922,ILLINOIS AVE,15216,82200,37800,Taxable,Regular,Residential,SINGLE FAMILY,9984
0097J00014000000,97-J-14,1073,MISSISSIPPI AVE,15216,63200,30800,Taxable,Regular,Residential,SINGLE FAMILY,7035
0097J00038000000,97-J-38,1060,MISSISSIPPI AVE,15216,68000,39800,Taxable,Regular,Residential,SINGLE FAMILY,12430
0097J00064000000,97-J-64,108,MORTON LN,15226,33000,20000,Taxable,Regular,Residential,SINGLE FAMILY,9230
0097K00010000000,97-K-10,1019,MCNEILLY RD,15226,52600,32400,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097J00180000000,97-J-180,0,MORDEN DR,15216,0,33000,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,14645
0097J00185000000,97-J-185,0,MORDEN DR,15216,0,20900,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,9300
0097K00004000000,97-K-4,1031,MCNEILLY RD,15226,74900,32600,Taxable,Regular,Residential,SINGLE FAMILY,7163
0097K00016000000,97-K-16,1007,MCNEILLY RD,15226,58000,23000,Taxable,Regular,Residential,SINGLE FAMILY,6245
0097J00060000000,97-J-60,104,MORTON LN,15226,41500,36000,Taxable,Regular,Residential,SINGLE FAMILY,6440
0097J00016000000,97-J-16,1069,MISSISSIPPI AVE,15216,77100,30700,Taxable,Regular,Residential,SINGLE FAMILY,6849
0097J00175000000,97-J-175,0,MORDEN DR,15216,0,13700,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,6098
0097J00046000000,97-J-46,930,ILLINOIS AVE,15216,81100,30400,Taxable,Corporation,Residential,SINGLE FAMILY,10254
0097J00062000000,97-J-62,106,MORTON LN,15226,55700,35700,Taxable,Regular,Residential,SINGLE FAMILY,5845
0097J00028000000,97-J-28,0,MISSISSIPPI AVE,15216,0,297700,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,49615
0097J00076000000,97-J-76,1039,MCNEILLY RD,15226,36900,21000,Taxable,Regular,Residential,SINGLE FAMILY,7000
0097K00008000000,97-K-8,1023,MCNEILLY RD,15226,61300,32400,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097K00014000000,97-K-14,1011,MCNEILLY RD,15226,44000,32000,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097J00056000000,97-J-56,0,MORTON LN,15226,0,36200,Taxable,Regular,Residential,VACANT LAND,7144
0097J00078000000,97-J-78,1037,MCNEILLY RD,15226,42300,29600,Taxable,Regular,Residential,SINGLE FAMILY,7000
0097J00080000000,97-J-80,1035,MCNEILLY RD,15226,54500,32500,Taxable,Regular,Residential,SINGLE FAMILY,6956
0097J00090000000,97-J-90,0,ELWYN RD,15243,0,2800,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,47045
0097K00012000000,97-K-12,1015,MCNEILLY RD,15226,67100,32400,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097J00048000000,97-J-48,930,ILLINOIS AVE,15216,0,29400,Taxable,Regular,Residential,VACANT LAND,8232
0097J00054000000,97-J-54,989,MCNEILLY RD,15226,55600,36200,Taxable,Regular,Residential,SINGLE FAMILY,13049
0097J00070000000,97-J-70,105,MORTON LN,15226,36100,39000,Taxable,Regular,Residential,SINGLE FAMILY,11500
0097K00006000000,97-K-6,1027,MCNEILLY RD,15226,53200,22400,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097K00200000000,97-K-200,0,ELWYN RD,15243,0,14300,Exempt,Corporation,Other,OWNED BY BOARD OF EDUCATION,6350
0097N00060000000,97-N-60,862,BRIDGEWATER DR,15216,75900,30800,Taxable,Regular,Residential,SINGLE FAMILY,7169
0097N00065000000,97-N-65,0,LOVINGSTON DR,15216,2400,900,Provisionally Exempt,Corporation,Utilities,COMMERCIAL/UTILITY,400
0097N00136000000,97-N-136,828,LOVINGSTON DR,15216,109100,31000,Taxable,Regular,Residential,SINGLE FAMILY,7749
0097L00170000000,97-L-170,0,DORCHESTER AVE,15226,14400000,2600000,Taxable,Corporation,Commercial,INDEPENDENT LIVING (SENIORS),925432
0097L00193000000,97-L-193,994,DORCHESTER AVE,15226,29200,35800,Taxable,Regular,Residential,SINGLE FAMILY,6000
0097N00132000000,97-N-132,859,BRIDGEWATER DR,15216,147200,38300,Taxable,Regular,Residential,SINGLE FAMILY,10586
0097N00129000000,97-N-129,855,BRIDGEWATER DR,15216,105300,39900,Taxable,Regular,Residential,SINGLE FAMILY,12653
0097N00120000000,97-N-120,1000,KELTON AVE,15216,25046800,1579900,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,700488
0097N00058000000,97-N-58,866,BRIDGEWATER DR,15216,104000,30800,Taxable,Regular,Residential,SINGLE FAMILY,7169
0097N00134000000,97-N-134,832,LOVINGSTON DR,15216,84600,30900,Taxable,Regular,Residential,SINGLE FAMILY,7440
0097N00018000000,97-N-18,849,LOVINGSTON DR,15216,110300,36400,Taxable,Regular,Residential,SINGLE FAMILY,7508
0097N00024000000,97-N-24,857,LOVINGSTON DR,15216,133700,36400,Taxable,Regular,Residential,SINGLE FAMILY,7626
0097N00044000000,97-N-44,848,LOVINGSTON DR,15216,96400,38300,Taxable,Regular,Residential,SINGLE FAMILY,12426
0097N00028000000,97-N-28,861,LOVINGSTON DR,15216,110500,39400,Taxable,Regular,Residential,SINGLE FAMILY,11954
0097N00004000000,97-N-4,149,SLEEPY HOLLOW RD,15216,87100,30700,Taxable,Regular,Residential,SINGLE FAMILY,6832
0097N00020000000,97-N-20,853,LOVINGSTON DR,15216,108600,36400,Taxable,Regular,Residential,SINGLE FAMILY,7626
0097N00040000000,97-N-40,856,LOVINGSTON DR,15216,98900,38200,Taxable,Regular,Residential,SINGLE FAMILY,10494
0097L00192000000,97-L-192,992,DORCHESTER AVE,15226,42100,25900,Taxable,Regular,Residential,SINGLE FAMILY,6369
0097N00056000000,97-N-56,870,BRIDGEWATER DR,15216,95100,29900,Taxable,Regular,Residential,SINGLE FAMILY,8994
0097L00194000000,97-L-194,996,DORCHESTER AVE,15226,65100,35800,Taxable,Regular,Residential,SINGLE FAMILY,6000
0097N00010000000,97-N-10,886,BRIDGEWATER DR,15216,73200,31400,Taxable,Regular,Residential,SINGLE FAMILY,8884
0097N00016000000,97-N-16,845,LOVINGSTON DR,15216,95100,37100,Taxable,Regular,Residential,SINGLE FAMILY,9073
0097L00198000000,97-L-198,998,DORCHESTER AVE,15226,63500,30300,Taxable,Regular,Residential,SINGLE FAMILY,5640
0097N00006000000,97-N-6,153,SLEEPY HOLLOW RD,15216,81300,30700,Taxable,Regular,Residential,SINGLE FAMILY,6949
0097N00034000000,97-N-34,873,LOVINGSTON DR,15216,105100,36400,Taxable,Regular,Residential,SINGLE FAMILY,7560
0097N00008000000,97-N-8,157,SLEEPY HOLLOW RD,15216,102600,32500,Taxable,Regular,Residential,SINGLE FAMILY,10486
0097N00048000000,97-N-48,838,LOVINGSTON DR,15216,216600,39400,Taxable,Regular,Residential,SINGLE FAMILY,12000
0097N00042000000,97-N-42,852,LOVINGSTON DR,15216,120100,38600,Taxable,Regular,Residential,SINGLE FAMILY,10954
0097N00012000000,97-N-12,882,BRIDGEWATER DR,15216,101800,31500,Taxable,Regular,Residential,SINGLE FAMILY,9113
0097N00045000000,97-N-45,844,LOVINGSTON DR,15216,90400,38300,Taxable,Corporation,Residential,SINGLE FAMILY,10593
0097N00014000000,97-N-14,878,BRIDGEWATER DR,15216,93300,31300,Taxable,Regular,Residential,SINGLE FAMILY,8721
0097N00030000000,97-N-30,865,LOVINGSTON DR,15216,114200,37600,Taxable,Regular,Residential,SINGLE FAMILY,9779
0097N00050000000,97-N-50,840,LOVINGSTON DR,15216,177300,38600,Taxable,Regular,Residential,SINGLE FAMILY,11000
