Parcel_ID|Municipality|Property_Address|Use_Code|Total_Rooms|Basement|Style|Bedrooms|Grade|Stories|Full_Baths|Condition|Year_Built|Half_Baths|Fireplaces|Exterior_Finish|Heating|Basement_Garage|Roof_Type|Cooling|Living_Area
0063-E-00250-0000-00|926 MT. LEBANON|1766 THEODAN DR|SINGLE FAMILY|9|Full Basement|SPLIT LEVEL|3|C+|1|2|Average|1955|1|2|Brick|Central Heat|2|Slate|Central Air|
0063-E-00252-0000-00|926 MT. LEBANON|1770 THEODAN DR|SINGLE FAMILY|7|Full Basement|SPLIT LEVEL|3|B|1|2|Average|1957|0|1|Brick|Central Heat|2|Slate|Central Air|
0063-E-00254-0000-00|926 MT. LEBANON|1774 THEODAN DR|SINGLE FAMILY|6|Full Basement|SPLIT LEVEL|3|C+|1|2|Average|1954|0|1|Masonry & Frame|None|2|Shingle||
0063-E-00256-0000-00|926 MT. LEBANON|1778 THEODAN DR|SINGLE FAMILY|7|Full Basement|CAPE COD|4|B|1|4|Average|1956|0|1|Brick|Central Heat|2|Slate|Central Air|
0063-E-00300-0000-00|926 MT. LEBANON|238 TWIN HILLS DR|SINGLE FAMILY|11|Full Basement|CONTEMPORARY|4|A+|2|6|Good|1989|2|3|Frame|Central Heat|2|Shingle|Central Air|
0063-E-00310-0000-00|926 MT. LEBANON|246 TWIN HILLS DR|SINGLE FAMILY|10|Full Basement|COLONIAL|4|B|2|3|Good|1987|2|1|Brick|Central Heat|3|Shingle|Central Air|
0063-E-00310-0001-00|926 MT. LEBANON|TWIN HILLS DR||||||||||||||||||
0063-E-00311-0000-00|926 MT. LEBANON|242 TWIN HILLS DR|SINGLE FAMILY|10|Full Basement|TUDOR|4|A|2|3|Average|1988|1|2|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-E-00313-0000-00|926 MT. LEBANON|243 TWIN HILLS DR|SINGLE FAMILY|10|Full Basement|CONTEMPORARY|4|B+|2|4|Good|1988|1|2|Stone|Central Heat|2|Shingle|Central Air|
0063-E-00315-0000-00|926 MT. LEBANON|247 TWIN HILLS DR|SINGLE FAMILY|9|Part|COLONIAL|5|B+|2|2|Average|1989|1|2|Brick|Central Heat|0|Shingle|Central Air|
0063-E-00317-0000-00|926 MT. LEBANON|251 TWIN HILLS DR|SINGLE FAMILY|6|Full Basement|SPLIT LEVEL|2|B|1|2|Average|1978|1|1|Brick|Central Heat|1|Roll|Central Air|
0063-E-00327-0000-00|926 MT. LEBANON|250 TWIN HILLS DR|SINGLE FAMILY|10|Full Basement|COLONIAL|5|B|2|2|Average|1971|1|1|Masonry & Frame|Central Heat|2|Shingle|Central Air|
0063-E-00330-0000-00|926 MT. LEBANON|254 TWIN HILLS DR|SINGLE FAMILY|5|Full Basement|RANCH|3|B|1|2|Average|1955|0|1|Brick|Central Heat|0|Slate|Central Air|
0063-E-00334-0000-00|926 MT. LEBANON|910 N MEADOWCROFT AVE|SINGLE FAMILY|6|Full Basement|COLONIAL|3|C+|2|1|Average|1946|0|1|Brick|Central Heat|1|Slate|Central Air|
0063-E-00336-0000-00|926 MT. LEBANON|914 N MEADOWCROFT AVE|SINGLE FAMILY|6|Full Basement|COLONIAL|3|C+|2|1|Average|1946|0|1|Brick|Central Heat|1|Slate|Central Air|
0063-E-00338-0000-00|926 MT. LEBANON|918 N MEADOWCROFT AVE|SINGLE FAMILY|7|Full Basement|COLONIAL|3|C+|2|1|Average|1946|1|1|Brick|Central Heat|1|Shingle|Central Air|
