# Source: Pittsburgh Neighborhood and Community Information System at the University Center for Social and Urban Research
# http://www.ucsur.pitt.edu/thepub.php?pl=370
# http://surveyweb1.ucsur.pitt.edu/files/thepub/000089/Sales1011.zip
#
# Transformations:
# (1) removed non-Mt. Lebanon properties
# (2) removed columns that didn't contain quantitative or categorical info
#     (e.g., personally identifying information)
"MAPBLOLOT","PROPERTYZIP","SALEDATE","SALEPRICE","MUNICODE","X","Y","YEARBUILT","TOTALROOMS","BEDROOMS","FULLBATHS","HALFBATHS","STYLE_DESC","STORIES","FINISHEDLI"
"0097L00194000000",15226,"22-Nov-11",0,926,1335744.12533005,392374.34173727,1971,6,3,1,0,"OLD STYLE",1,933
"0097N00010000000",15216,"20-Jun-11",1,926,1332855.5628995,391448.98584491,1964,6,3,1,0,"RANCH",1,1064
"0097N00032000000",15216,"21-Apr-11",1,926,1332724.87543368,391709.116265148,1962,3,2,1,1,"OLD STYLE",2,1670
"0097E00291000000",15216,"24-Jan-11",1,926,1332987.8129379,393144.848179787,1957,8,4,1,2,"RANCH",1,1288
"0097J00016000000",15216,"14-Sep-11",149000,926,1333210.50047682,392762.023811504,1959,7,3,1,1,"SPLIT LEVEL",1,1253
"0097J00046000000",15216,"23-Sep-11",121000,926,1333466.93789633,392841.25188525,1966,6,3,1,1,"CONVENTIONAL",2,1232
"0097P00094000000",15226,"01-Dec-11",115000,926,1334363.5004264,391260.852066815,1950,5,2,1,0,"CONVENTIONAL",2,1244
"0098A00198000000",15216,"01-Sep-11",312000,926,1328189.06283082,394843.825284064,1920,9,4,2,1,"OLD STYLE",2,2099
"0098A00220000000",15216,"19-May-11",259000,926,1328148.68787134,394494.239571154,1928,8,3,1,0,"OLD STYLE",2,2072
"0098A00248000000",15216,"24-Aug-11",270000,926,1328392.87537728,394479.777871698,1928,9,5,2,0,"OLD STYLE",2,1893
"0098A00262000000",15216,"03-Jan-11",207500,926,1328083.37536274,394314.430850893,1929,6,2,2,0,"OLD STYLE",2,1843
"0098E00036000000",15216,"05-Oct-11",192000,926,1328409.1836741,393797.353240505,1933,7,3,1,0,"OLD STYLE",2,1891
"0098E00060000000",15216,"04-Aug-11",276000,926,1328208.00036888,393495.937410593,1926,7,4,1,1,"OLD STYLE",2,1836
"0098E00178000000",15216,"24-May-11",1,926,1329179.56289212,393288.376299635,1923,7,4,1,1,"OLD STYLE",2,1872
"0098E00308000000",15216,"24-Jun-11",165000,926,1329020.93792012,393814.420714483,1927,7,3,1,1,"OLD STYLE",2,1720
"0098E00322000000",15216,"24-May-11",159900,926,1328786.50451705,393652.02322641,1926,6,3,1,1,"OLD STYLE",2,1432
"0098E00334000000",15216,"28-Jan-11",50000,926,1328792.75044374,393788.687818438,1928,7,3,1,1,"OLD STYLE",2,1315
"0098F00302000000",15216,"22-Aug-11",0,926,1329373.30870482,393416.020075008,1925,6,3,1,0,"OLD STYLE",1.5,1459
"0098F00330000000",15216,"21-Nov-11",1,926,1329231.31290294,393633.611749962,1927,6,3,1,0,"OLD STYLE",2,1566
"0098J00102020100",15216,"27-Oct-11",235000,926,1328897.68784986,392451.289467409,1981,6,3,2,1,"CONDO",2,2256
"0098J00104000000",15216,"25-Feb-11",60000,926,1328874.37532189,392521.840870559,1921,14,6,2,0,"MULTI-FAMILY",2,3572
"0098J00136000000",15216,"18-May-11",135000,926,1328928.25042757,392745.01219219,1921,10,3,1,0,"OLD STYLE",2,1628
"0098J00148000000",15216,"02-Dec-11",134900,926,1328986.87540866,392555.112592667,1918,6,3,1,0,"OLD STYLE",2,1278
"0098J00166000000",15216,"31-Mar-11",0,926,1329077.06292082,392258.915487543,1930,7,3,1,0,"OLD STYLE",1,644
"0098J00226000000",15216,"10-Jan-11",117000,926,1329035.43520752,392876.244046897,1918,6,3,1,0,"OLD STYLE",2,1882
"0098J00228000000",15216,"10-Jan-11",117000,926,1329028.22763056,392909.587235793,NA,NA,NA,NA,NA,"",NA,NA
"0098J00234000000",15216,"10-Jun-11",146500,926,1329000.24629399,392982.885213733,1927,6,3,1,0,"CAPE COD",1.5,1212
"0098J00240000000",15216,"17-Nov-11",161315,926,1329091.37955336,393045.440674812,1922,6,3,2,0,"OLD STYLE",2,1418
