BasicInfo1_lblParcelIDText,Parcel_ID
BasicInfo1_lblMuniText,Municipality
BasicInfo1_lblAddressText,Property_Address
BasicInfo1_Label33,Alternate_ID
Label13,School_District
Label15,Neighborhood_Code
Label4,Tax_Code
Label9,Recording_Date
Label5,Owner_Code
Label7,Sale_Price
Label21,State_Code
Label23,Deed_Book
Label14,Use_Code
Label3,Deed_Page
Label1,Homestead
Label22,Abatement
Label2,Farmstead
Label6,Lot_Area
Label42,Land_Value_2013_Mkt
Label39,Land_Value_2013_Reval
Label43,Building_Value_2013_Mkt
Label40,Building_Value_2013_Reval
Label44,Total_Value_2013_Mkt
Label41,Total_Value_2013_Reval
